Canon EF 50mm f/1.4 USM,Nikon 35mm f/1.8G AF-S DX Nikkor,Nikon 50mm f/1.8G AF-S Nikkor,Canon EF 50mm f/1.8 STM,Canon EF 85mm f/1.8 USM,Canon EF 24-70mm f/2.8L II USM,Canon EF-S 17-55mm f/2.8 IS USM,Canon EF 24-70mm f/4L IS USM,Canon EF 24-105mm f/4.0L IS II USM,Canon EF-S 18-135mm f/3.5-5.6 IS,Canon EF 50mm f/1.8 II,Nikon 50mm f/1.8D AF Nikkor,
15 980 р.,10 325 р.,12 450 р.,8 500 р.,20 800 р.,115 900 р.,32 000 р.,43 500 р.,57 000 р.,10 800 р.,5 850 р.,6 000 р.,

