знаменитый,0.02298195033096146,0.04759022836547234,0,0,0,0.022301511578128295,0,0,0.020751135942829783,0.025144569836889875,0,0,0,0,0.02458457584813594,0.022084617905067258,0,0,0,0,0,0,0,0.021394583072075722
учёный,0.04940996781720907,0.03389149163088827,0.05189081800355918,0.03128367361678147,0,0.06426400678633654,0.03643729398100381,0.05331656703721415,0.030251820014277765,0.03543601501212399,0.015478986139503654,0.04742554444802153,0.03532835399303792,0.04024479104800209,0.017400184028095927,0.07968057569074646,0.015164259079897617,0,0.030957972279007307,0.04940996781720907,0.01793687012046762,0,0,0.031038694189597107
стивен,0.03800966497662633,0.05883578417425611,0.04012692353817664,0.01795973398329956,0,0.05547970093168295,0.042526917328101536,0.04135876415847902,0.017315583083010195,0.04121773605515498,0,0.036337884428617635,0.020538887459255042,0.04764872159231516,0.04039355471738488,0.03665895746541262,0,0,0,0,0,0,0,0
хокинг,0.05701449746493949,0.05883578417425611,0.08025384707635327,0.07183893593319823,0,0.05547970093168295,0.10631729332025384,0.062038146237718535,0.03463116616602039,0.10304434013788745,0,0.0908447110715441,0.06161666237776512,0.02382436079615758,0.12118066415215463,0.054988436198118926,0,0,0,0,0,0,0,0
рассказать,0.025026470031842465,0,0,0,0,0,0,0,0,0,0.023164674609265627,0.023776246899338396,0.027367895399682124,0,0,0.02401502487845723,0,0,0,0,0,0,0.027695847260887165,0
в,0.12139402626459192,0.14024585921721408,0.1588277586229503,0.10119897999730922,0.19272855377333284,0.13342746030461503,0.08331115193967539,0.08143059461474128,0.12605953196848763,0.12992228899978614,0.15746628795855905,0.16062128470006182,0.09716826625284135,0.05469018500724499,0.14373584292403646,0.0735634964853094,0.0702009021124412,0.125,0.042945351261425194,0.07587126641536995,0.06570071253166833,0.09799326538350481,0.09799326538350481,0.12915274761983525
интервью,0.02298195033096146,0.02379511418273617,0,0,0,0,0,0.025240709322502813,0.020751135942829783,0,0.021328225497412336,0,0,0,0.02458457584813594,0.022084617905067258,0,0,0,0,0,0,0.02533767965134828,0
тасс,0.04428976271667847,0.022914673760755275,0,0,0,0.02149997855245701,0,0.024280681065766585,0.020028050830309306,0,0.02057634496005697,0,0,0,0.023661070405514673,0.021294269061149527,0,0,0,0,0,0.02437219668860787,0,0
о,0.01851450897328403,0.019096199179583224,0,0.05253412528029173,0,0.054071177249358685,0,0.02011703364109875,0.01689202702534673,0.020049678850325166,0.017315435251356943,0.053137069667455156,0,0,0.01965582261113312,0.05359956633461779,0,0.019156624505794986,0,0.01851450897328403,0,0,0.02018489217629988,0.01736395820270453
будущее,0.0664346440750177,0.022914673760755275,0.0234905043530415,0.06249311979605127,0,0.02149997855245701,0,0,0.04005610166061861,0.024189934997326322,0.02057634496005697,0.06327879802754056,0,0,0,0,0,0,0,0,0,0,0,0
человечество,0.05701449746493949,0.05883578417425611,0.060190385307264956,0.05387920194989868,0.03698646728778863,0.05547970093168295,0.042526917328101536,0.062038146237718535,0.05194674924903058,0.02060886802757749,0.05326757575695907,0.018168942214308818,0.08215554983702017,0,0,0.09164739366353154,0,0,0,0,0,0,0,0
на,0.07587126641536995,0.07791436623178559,0.06353110344918012,0.043370991427418244,0.10377691357025615,0.05930109346871779,0.09997338232761048,0.08143059461474128,0.08403968797899174,0.11368200287481287,0.11452093669713385,0.07300967486366446,0.1295576883371218,0.018230061669081664,0.01597064921378183,0.11770159437649504,0.1404018042248824,0.078125,0.17178140504570077,0.1517425328307399,0.16425178132917082,0.163322108972508,0.048996632691752404,0.15785335820202084
марс,0.06449297525923972,0.06632413708786156,0.0845925104389589,0.061299071055339556,0.11013783595514656,0.0786698828251047,0.05340642627520872,0.069498036775237,0.05930552380912748,0.06929024737500308,0.01516752893644437,0,0.1036256431671116,0,0.017017633333033983,0.07804361457699302,0.044590349959033895,0,0.04550258680933311,0.06449297525923972,0.08766166876637839,0.08713392601870844,0.06970714081496675,0.060826022550013806
по,0.07222336782630889,0.018613767032477104,0.019027735543591568,0.034183926723874825,0,0.05275359133815848,0,0.03918198361675704,0.04948745038168085,0.019526592308799988,0,0.017285249196224435,0,0.04487684996724472,0,0.01743345511436958,0.04962006050747954,0.056015039073768064,0.03380689347270078,0,0,0,0.0393117229390602,0.033900277255262554
мнение,0.062156221160806095,0.0214146394747709,0,0.03905391214155684,0,0.020134381301537274,0.023322176435768564,0.0226450504601452,0.05638832333524726,0.022563493327691576,0,0.01976492067036527,0,0.05265481228901022,0.022087664877281064,0,0,0,0,0,0,0,0,0
физика,0.05264441204234299,0,0,0.024650845817399746,0,0,0.03005296651712912,0,0.04727309661002245,0,0,0.049965653485225366,0,0,0,0,0,0,0,0,0,0,0,0
теоретик,0.022144881358339235,0.022914673760755275,0.0234905043530415,0,0,0,0,0.024280681065766585,0.020028050830309306,0.024189934997326322,0.02057634496005697,0.042185865351693705,0,0,0.07098321121654402,0,0,0,0,0,0,0,0,0
колонизация,0.016834524156362517,0.017329168517225362,0.01769479192292713,0,0.049245183129051136,0.016415061043017043,0.01865652025348283,0.03638054278688601,0.015440806098388996,0.01813374110967872,0,0,0,0,0.01780236110115993,0.03256060777810116,0.015480500880939399,0.017380390558737344,0.06322568936232924,0.03366904831272503,0.01836216081842036,0.01824718241587336,0.03649436483174672,0.047544715703646025
состояться,0.029952578406226702,0,0,0,0,0,0,0,0,0,0,0,0,0.03981279548203131,0,0,0,0,0,0,0,0,0,0.027683638624426136
