word,idf
сеть,2.5145731728297585
появиться,3.321928094887362
видео,3.321928094887362
празднование,5.321928094887363
игрок,2.5145731728297585
цска,3.736965594166206
кубок,3.736965594166206
гагарин,3.736965594166206
московский,3.736965594166206
отпраздновать,5.321928094887363
победа,2.5145731728297585
финал,3.736965594166206
плей-офф,2.736965594166206
континентальный,3.321928094887362
хоккейный,2.736965594166206
лига,2.5145731728297585
кхл,3.321928094887362
против,2.736965594166206
омский,3.736965594166206
авангард,3.321928094887362
передавать,3.0
спорт-экспресс,5.321928094887363
опубликовать,3.736965594166206
армеец,4.321928094887363
радоваться,5.321928094887363
завоевание,5.321928094887363
первый,1.7369655941662063
история,2.736965594166206
свой,1.5145731728297582
клуб,2.321928094887362
хоккеист,3.321928094887362
расплёскивать,5.321928094887363
шампанский,5.321928094887363
раздевалка,5.321928094887363
веселиться,5.321928094887363
четвёртый,3.0
матч,1.862496476250065
завершиться,3.321928094887362
овертайм,3.736965594166206
счёт,2.15200309344505
столичный,4.321928094887363
команда,1.6214883767462702
одолеть,4.321928094887363
соперник,2.736965594166206
четыре,3.0
игра,2.5145731728297585
серия,3.321928094887362
ранее,2.15200309344505
национальный,3.0
нхл,2.736965594166206
миннесота,5.321928094887363
уайлд,5.321928094887363
поздравить,5.321928094887363
нападать,2.5145731728297585
кирилл,5.321928094887363
капризов,5.321928094887363
орландо,5.321928094887363
проиграть,4.321928094887363
торонто,5.321928094887363
пустить,5.321928094887363
вперёд,5.321928094887363
пройти,2.736965594166206
апрель,2.15200309344505
мэджик,5.321928094887363
площадка,4.321928094887363
принимать,3.321928094887362
рэпторс,5.321928094887363
рамка,3.736965594166206
третий,3.0
четвертьфинальный,5.321928094887363
стадия,4.321928094887363
восточный,4.321928094887363
конференция,3.0
закончиться,5.321928094887363
гость,5.321928094887363
самый,3.321928094887362
результативный,4.321928094887363
стать,1.5145731728297582
паскаль,5.321928094887363
сиак,5.321928094887363
который,0.8624964762500651
набрать,4.321928094887363
очки,4.321928094887363
сделать,2.736965594166206
подбор,4.321928094887363
