word,1,2
сеть,0.012984542139336714,0.02548576764095185
появиться,0.006492271069668357,0.01456329579482963
видео,0.012984542139336714,0.010922471846122222
празднование,0.007174399309777498,0
игрок,0.051938168557346856,0.0036408239487074074
цска,0.06456959378799748,0
кубок,0.03587199654888749,0
гагарин,0.03587199654888749,0
московский,0.012984542139336714,0.0036408239487074074
отпраздновать,0.007174399309777498,0
победа,0.08609279171732996,0
финал,0.04304639585866498,0
плей-офф,0.04304639585866498,0
континентальный,0.02869759723910999,0
хоккейный,0.06456959378799748,0
лига,0.08609279171732996,0
кхл,0.04304639585866498,0
против,0.04304639585866498,0
омский,0.02152319792933249,0
авангард,0.05022079516844248,0
передавать,0.01947681320900507,0.007281647897414815
спорт-экспресс,0.007174399309777498,0
опубликовать,0.006492271069668357,0.007281647897414815
армеец,0.014348798619554995,0
радоваться,0.007174399309777498,0
завоевание,0.007174399309777498,0
первый,0.045445897487678494,0.04004906343578148
история,0.025969084278673428,0.007281647897414815
свой,0.06492271069668357,0.02912659158965926
клуб,0.09326719102710747,0
хоккеист,0.02869759723910999,0
расплёскивать,0.007174399309777498,0
шампанский,0.007174399309777498,0
раздевалка,0.007174399309777498,0
веселиться,0.007174399309777498,0
четвёртый,0.025969084278673428,0.0036408239487074074
матч,0.13631358688577244,0
завершиться,0.02869759723910999,0
овертайм,0.02152319792933249,0
счёт,0.045445897487678494,0.007281647897414815
столичный,0.014348798619554995,0
команда,0.07790725283602028,0.010922471846122222
одолеть,0.014348798619554995,0
соперник,0.04304639585866498,0
четыре,0.03587199654888749,0
игра,0.06456959378799748,0
серия,0.05022079516844248,0
ранее,0.051938168557346856,0.0036408239487074074
национальный,0.03587199654888749,0
нхл,0.05022079516844248,0
миннесота,0.007174399309777498,0
уайлд,0.007174399309777498,0
поздравить,0.007174399309777498,0
нападать,0.06456959378799748,0
кирилл,0.007174399309777498,0
капризов,0.007174399309777498,0
орландо,0.02869759723910999,0
проиграть,0.014348798619554995,0
торонто,0.02869759723910999,0
пустить,0.007174399309777498,0
вперёд,0.014348798619554995,0
пройти,0.03895362641801014,0.0036408239487074074
апрель,0.051938168557346856,0.018204119743537035
мэджик,0.007174399309777498,0
площадка,0.006492271069668357,0.0036408239487074074
принимать,0.012984542139336714,0.007281647897414815
рэпторс,0.007174399309777498,0
рамка,0.02152319792933249,0
третий,0.01947681320900507,0.018204119743537035
четвертьфинальный,0.007174399309777498,0
стадия,0.006492271069668357,0.007281647897414815
восточный,0.014348798619554995,0
конференция,0.01947681320900507,0.007281647897414815
закончиться,0.007174399309777498,0
гость,0.007174399309777498,0
самый,0.012984542139336714,0.007281647897414815
результативный,0.014348798619554995,0
стать,0.05843043962701521,0.0509715352819037
паскаль,0.007174399309777498,0
сиак,0.007174399309777498,0
который,0.06492271069668357,0.0983022466151
набрать,0.02152319792933249,0
очки,0.014348798619554995,0
сделать,0.045445897487678494,0.0036408239487074074
подбор,0.006492271069668357,0.0036408239487074074
защитник,0.014348798619554995,0
терренс,0.007174399309777498,0
росс,0.007174399309777498,0
балл,0.014348798619554995,0
выйти,0.012984542139336714,0.007281647897414815
следующий,0.01947681320900507,0.0036408239487074074
главный,0.01947681320900507,0.010922471846122222
тренер,0.04304639585866498,0
анжи,0.014348798619554995,0
магомед,0.007174399309777498,0
адий,0.014348798619554995,0
рассказать,0.025969084278673428,0.010922471846122222
подготовка,0.007174399309777498,0
тур,0.014348798619554995,0
рпл,0.007174399309777498,0
ахмат,0.014348798619554995,0
волнительный,0.007174399309777498,0
сторона,0.01947681320900507,0.007281647897414815
настроение,0.014348798619554995,0
плохой,0.014348798619554995,0
наш,0.012984542139336714,0.007281647897414815
ситуация,0.012984542139336714,0.007281647897414815
единственный,0.007174399309777498,0
большой,0.006492271069668357,0.018204119743537035
плюс,0.007174399309777498,0
поэтому,0.006492271069668357,0.0036408239487074074
любой,0.006492271069668357,0.01456329579482963
готовиться,0.006492271069668357,0.0036408239487074074
хороший,0.051938168557346856,0.0036408239487074074
сказать,0.03246135534834178,0.007281647897414815
эфир,0.007174399309777498,0
телеканал,0.007174399309777498,0
тв,0.007174399309777498,0
состояться,0.012984542139336714,0.0036408239487074074
начало,0.006492271069668357,0.007281647897414815
мск,0.007174399309777498,0
олимпийский,0.014348798619554995,0
чемпионка,0.007174399309777498,0
алина,0.014348798619554995,0
загитов,0.02152319792933249,0
придавать,0.007174399309777498,0
мотивация,0.007174399309777498,0
тренировка,0.014348798619554995,0
выступление,0.02152319792933249,0
спортсменка,0.007174399309777498,0
признаться,0.007174399309777498,0
представлять,0.006492271069668357,0.007281647897414815
жизнь,0.006492271069668357,0.01456329579482963
фигурный,0.014348798619554995,0
катание,0.014348798619554995,0
получать,0.006492271069668357,0.007281647897414815
внимание,0.006492271069668357,0.0036408239487074074
олимпиаде-2018,0.007174399309777498,0
отметить,0.025969084278673428,0.01456329579482963
слово,0.03246135534834178,0.01456329579482963
приводить,0.006492271069668357,0.0036408239487074074
японский,0.007174399309777498,0
сайт,0.006492271069668357,0.01456329579482963
number,0.007174399309777498,0
web,0.007174399309777498,0
фигуристка,0.014348798619554995,0
добавить,0.012984542139336714,0.0036408239487074074
сам,0.014348798619554995,0
измениться,0.007174399309777498,0
остаться,0.012984542139336714,0.010922471846122222
прежде,0.006492271069668357,0.0036408239487074074
мечта,0.02152319792933249,0
очень,0.01947681320900507,0.007281647897414815
важный,0.006492271069668357,0.010922471846122222
осознание,0.007174399309777498,0
мой,0.007174399309777498,0
помогать,0.006492271069668357,0.010922471846122222
